Index;Date;Match_Index;Match_Type;Home_Team_Code;Home_Team;Home_score;Away_Score;Away_Team_Code;Away_Team;Home_Score_Index;Away_Score_Index;FIFA_Points_Home;FIFA_Points_Home_Norm;FIFA_Points_Away;FIFA_Points_Away_Norm;Attack_Home;Attack_Away;Defense_Home;Defense_Away;Recent_Home_Trend_1;Recent_Home_Trend_2;Recent_Home_Trend_3;Recent_Home_Trend_4;Recent_Home_Trend_5;Recent_Away_Trend_1;Recent_Away_Trend_2;Recent_Away_Trend_3;Recent_Away_Trend_4;Recent_Away_Trend_5;Encounter_1;Encounter_2;Encounter_3;Encounter_4;Encounter_5
;;;;GER;Germany;0;2;FRA;France;-1;1;1309;0.853962017;907;0.59070072;2.407008086;1.446317829;1.035714286;0.821899225;1;1;1;0;1;1;1;0;1;1;;;;;
;;;;POR;Portugal;2;0;WAL;Wales;1;-1;1184;0.772102161;839;0.546168959;1.709302326;1.047619048;0.906976744;1.228571429;1;1;0;0;0;1;1;1;-1;1;;;;;
1;03.07.2016;;;FRA;France;5;2;ISL;Iceland;1;-1;907;0.59070072;724;0.470857891;1.446317829;1.241196013;0.821899225;1.273754153;1;0;1;1;1;1;1;0;0;1;;;;;
2;02.07.2016;;;GER;Germany;1;1;ITA;Italy;0;0;1309;0.853962017;959;0.62475442;2.407008086;1.398496241;1.035714286;0.605769231;1;1;0;1;1;1;-1;1;1;1;;;;;
3;01.07.2016;;;WAL;Wales;3;1;BEL;Belgium;1;-1;839;0.546168959;1352;0.882121807;1.047619048;1.707317073;1.228571429;1.146341463;1;1;-1;1;-1;1;0;0;-1;1;;;;;
4;30.06.2016;;;POL;Poland;1;1;POR;Portugal;0;0;821;0.534381139;1184;0.772102161;1.567307692;1.709302326;0.974358974;0.906976744;1;1;0;1;0;1;0;0;0;-1;;;;;
5;27.06.2016;;;ENG;England;1;2;ISL;Iceland;-1;1;1069;0.696791094;724;0.470857891;2.065;1.241196013;0.805;1.273754153;0;1;0;1;1;1;0;0;1;-1;;;;;
6;27.06.2016;;;ITA;Italy;2;0;ESP;Spain;1;-1;959;0.62475442;1277;0.833005894;1.398496241;2.252192982;0.997314715;0.605769231;-1;1;1;1;1;-1;1;1;1;1;;;;;
7;26.06.2016;;;HUN;Hungary;0;4;BEL;Belgium;-1;1;925;0.60248854;1352;0.882121807;1.488888889;1.707317073;1.277777778;1.146341463;0;0;1;-1;0;1;1;-1;1;0;;;;;
8;26.06.2016;;;GER;Germany;3;0;SVK;Slovakia;1;-1;1309;0.853962017;784;0.510150622;2.407008086;1.341463415;1.035714286;1.146341463;1;0;1;1;-1;0;1;-1;0;1;;;;;
9;26.06.2016;;;FRA;France;2;1;IRL;Rep. Of Ireland;1;-1;907;0.59070072;792;0.515389653;1.446317829;1.359927235;0.821899225;0.963097713;0;1;1;1;1;1;-1;0;-1;0;;;;;
10;25.06.2016;;;CRO;Croatia;0;1;POR;Portugal;-1;1;856;0.557301899;1184;0.772102161;1.709302326;1.76443769;0.906976744;0.912722536;1;0;1;1;1;0;0;0;-1;1;;;;;
11;25.06.2016;;;WAL;Wales;1;0;NIR;North. Ireland;1;-1;839;0.546168959;825;0.537000655;1.047619048;0.878787879;1.228571429;1.378787879;1;-1;1;-1;-1;-1;1;-1;0;1;;;;;
12;25.06.2016;;;SUI;Switzerland;1;1;POL;Poland;0;0;974;0.634577603;821;0.534381139;1.567307692;1.583966565;0.974358974;1.081306991;0;0;1;1;-1;1;0;1;0;-1;;;;;
13;22.06.2016;;;ISL;Iceland;2;1;AUT;Austria;1;-1;724;0.470857891;1067;0.695481336;1.241196013;1.5525;1.273754153;1.483333333;0;0;1;-1;1;0;-1;-1;1;-1;0;;;;
14;22.06.2016;;;HUN;Hungary;3;3;POR;Portugal;0;0;925;0.60248854;1184;0.772102161;1.488888889;1.76443769;1.277777778;0.912722536;0;1;-1;0;0;0;0;-1;1;1;-1;-1;;;
15;22.06.2016;;;SWE;Sweden;0;1;BEL;Belgium;-1;1;713;0.463654224;1352;0.882121807;1.655737705;1.707317073;1.023028884;1.146341463;-1;0;1;0;0;1;-1;1;0;1;-1;;;;
16;22.06.2016;;;ITA;Italy;0;1;IRL;Rep. of Ireland;-1;1;959;0.62475442;792;0.515389653;1.398496241;1.359927235;0.997314715;0.963097713;1;1;1;1;-1;-1;0;-1;0;0;0;1;-1;0;0
17;21.06.2016;;;CZE;Czech Republic;0;2;TUR;Turkey;-1;1;810;0.527177472;983;0.640471513;1.44047619;1.513390722;1.071428571;1.078431373;0;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1
18;21.06.2016;;;CRO;Croatia;2;1;ESP;Spain;1;-1;856;0.557301899;1277;0.833005894;1.709302326;2.252192982;0.906976744;0.605769231;0;1;1;1;0;1;1;1;1;0;-1;;;-1;-1
19;21.06.2016;;;NIR;North. Ireland;0;1;GER;Germany;-1;1;825;0.537000655;1309;0.853962017;0.878787879;2.407008086;1.378787879;1.035714286;1;-1;0;1;1;0;1;1;-1;1;;;;-1;-1
20;21.06.2016;;;UKR;Ukraine;0;1;POL;Poland;-1;1;880;0.573018991;821;0.534381139;1.627002288;1.583966565;0.891304348;1.081306991;-1;-1;1;1;1;0;1;0;-1;1;1;1;0;1;
21;20.06.2016;;;RUS;Russia;0;3;WAL;Wales;-1;1;821;0.534381139;839;0.546168959;1.679439746;1.047619048;0.747357294;1.228571429;-1;0;0;-1;-1;-1;1;-1;-1;0;1;1;;;
22;20.06.2016;;;SVK;Slovakia;0;0;ENG;England;0;0;784;0.510150622;1069;0.696791094;1.341463415;2.065;1.146341463;0.805;1;-1;0;1;1;1;0;1;1;1;-1;;;;
23;19.06.2016;;;SUI;Switzerland;0;0;FRA;France;0;0;974;0.634577603;907;0.59070072;1.567307692;1.446317829;0.974358974;0.821899225;0;1;1;-1;-1;1;1;1;1;1;-1;;;;
24;19.06.2016;;;ROU;Romania;0;1;ALB;Albania;-1;1;922;0.600523903;632;0.410609037;1.394894895;0.975;1.061861862;0.990625;0;-1;1;-1;0;-1;-1;-1;1;1;1;0;0;;
25;18.06.2016;;;POR;Portugal;0;0;AUT;Austria;0;0;1184;0.772102161;1067;0.695481336;1.76443769;1.5525;0.912722536;1.483333333;0;-1;1;1;-1;-1;-1;1;-1;1;;;0;;
26;18.06.2016;;;ISL;Iceland;1;1;HUN;Hungary;0;0;724;0.470857891;925;0.60248854;1.241196013;1.488888889;1.273754153;1.277777778;0;1;-1;1;-1;1;-1;0;0;1;-1;;;;
27;18.06.2016;;;BEL;Belgium;3;0;IRL;Rep. of Ireland;1;-1;1352;0.882121807;792;0.515389653;1.707317073;1.359927235;1.146341463;0.963097713;-1;1;0;1;-1;0;-1;0;0;1;;;;;
28;17.06.2016;;;ITA;Italy;1;0;SWE;Sweden;1;-1;959;0.62475442;713;0.463654224;1.398496241;1.655737705;0.997314715;1.023028884;1;1;1;-1;0;0;1;0;0;-1;1;;;;
29;17.06.2016;;;ESP;Spain;3;0;TUR;Turkey;1;-1;1277;0.833005894;983;0.640471513;2.252192982;1.513390722;0.605769231;1.078431373;1;1;1;0;0;-1;1;1;-1;1;1;1;;;
30;17.06.2016;;;CZE;Czech Republic;2;2;CRO;Croatia;0;0;810;0.527177472;856;0.557301899;1.44047619;1.709302326;1.071428571;0.906976744;-1;-1;1;1;0;1;1;1;0;1;-1;;;;
31;16.06.2016;;;GER;Germany;0;0;POL;Poland;0;0;1309;0.853962017;821;0.534381139;2.407008086;1.583966565;1.035714286;1.081306991;1;1;-1;1;-1;1;0;-1;1;1;1;-1;0;0;1
32;16.06.2016;;;UKR;Ukraine;0;2;NIR;North. Ireland;-1;1;880;0.573018991;825;0.537000655;1.627002288;0.878787879;0.891304348;1.378787879;-1;1;1;1;1;-1;0;1;1;0;;;0;0;1
33;16.06.2016;;;ENG;England;2;1;WAL;Wales;1;-1;1069;0.696791094;839;0.546168959;2.065;1.047619048;0.805;1.228571429;0;1;1;1;-1;1;-1;-1;0;-1;1;1;;;1
34;15.06.2016;;;FRA;France;2;0;ALB;Albania;1;-1;907;0.59070072;632;0.410609037;1.446317829;0.975;0.821899225;0.990625;1;1;1;1;1;-1;-1;1;1;-1;-1;0;1;1;
35;15.06.2016;;;ROU;Romania;1;1;SUI;Switzerland;0;0;922;0.600523903;974;0.634577603;1.394894895;1.567307692;1.061861862;0.974358974;-1;1;-1;0;0;1;1;-1;-1;-1;1;;;1;
36;15.06.2016;;;RUS;Russia;1;2;SVK;Slovakia;-1;1;821;0.534381139;784;0.510150622;1.679439746;1.341463415;0.747357294;1.146341463;0;0;-1;-1;1;-1;0;1;1;0;1;1;-1;;
37;14.06.2016;;;POR;Portugal;1;1;ISL;Iceland;0;0;1184;0.772102161;724;0.470857891;1.76443769;1.241196013;0.912722536;1.273754153;-1;1;1;-1;1;1;-1;1;-1;-1;1;1;;;
38;14.06.2016;;;AUT;Austria;0;2;HUN;Hungary;-1;1;1067;0.695481336;925;0.60248854;1.5525;1.488888889;1.483333333;1.277777778;-1;1;-1;1;-1;-1;0;0;1;1;;;;;
39;13.06.2016;;;BEL;Belgium;0;2;ITA;Italy;-1;1;1352;0.882121807;959;0.62475442;1.707317073;1.398496241;1.146341463;0.997314715;1;0;1;-1;1;1;1;-1;0;0;1;-1;;;
40;13.06.2016;;;IRL;Rep. of Ireland;1;1;SWE;Sweden;0;0;792;0.515389653;713;0.463654224;1.359927235;1.655737705;0.963097713;1.023028884;-1;0;0;1;1;1;0;0;-1;1;-1;0;;;
41;13.06.2016;;;ESP;Spain;1;0;CZE;Czech Republic;1;-1;1277;0.833005894;810;0.527177472;2.252192982;1.44047619;0.605769231;1.071428571;1;1;0;0;1;-1;1;1;0;-1;1;1;;;
42;12.06.2016;;;GER;Germany;2;0;UKR;Ukraine;1;-1;1309;0.853962017;880;0.573018991;2.407008086;1.627002288;1.035714286;0.891304348;1;-1;1;-1;-1;1;1;1;1;0;0;;;;
43;12.06.2016;;;POL;Poland;1;0;NIR;North. Ireland;1;-1;821;0.534381139;825;0.537000655;1.583966565;0.878787879;1.081306991;1.378787879;0;-1;1;1;1;0;1;1;0;1;0;-1;;;
44;12.06.2016;;;TUR;Turkey;0;1;CRO;Croatia;-1;1;983;0.640471513;856;0.557301899;1.513390722;1.709302326;1.078431373;0.906976744;1;1;-1;1;1;1;1;0;1;1;0;-1;0;;
